# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
141 1901.55 -32.3001 0.0516688 2.54048
142 1901.97 -32.7479 0.0516718 2.54104
143 1902.53 -33.3178 0.0516595 2.54179
144 1903.12 -33.9375 0.051644 2.54258
145 1903.63 -34.4694 0.0516436 2.54326
146 1904 -34.8561 0.0516668 2.54375
147 1904.21 -35.069 0.0517155 2.54403
148 1904.32 -35.1997 0.0517773 2.54418
149 1904.43 -35.2966 0.0518397 2.54433
150 1904.66 -35.5344 0.0518792 2.54463
151 1905.08 -35.981 0.0518834 2.5452
152 1905.71 -36.6193 0.0518526 2.54604
153 1906.47 -37.3933 0.0517966 2.54705
154 1907.23 -38.1758 0.0517339 2.54807
155 1907.9 -38.8759 0.0516796 2.54896
156 1908.4 -39.3936 0.0516453 2.54964
157 1908.79 -39.7779 0.051624 2.55016
158 1909.18 -40.175 0.0515944 2.55068
159 1909.77 -40.756 0.0515291 2.55146
160 1910.69 -41.6859 0.0514041 2.55269
161 1911.99 -43.0022 0.0512149 2.55442
162 1913.55 -44.597 0.0509806 2.55652
163 1915.19 -46.2519 0.0507358 2.5587
164 1916.71 -47.7692 0.050514 2.56073
165 1917.97 -49.0531 0.0503361 2.56241
166 1918.9 -49.9938 0.0502188 2.56366
167 1919.49 -50.5794 0.0501673 2.56444
168 1919.72 -50.8271 0.0501822 2.56475
169 1919.59 -50.7103 0.0502665 2.56458
170 1919.09 -50.2376 0.0504197 2.56392
171 1918.22 -49.3698 0.0506442 2.56276
172 1916.99 -48.1606 0.0509326 2.56111
173 1915.44 -46.6233 0.051278 2.55904
174 1913.65 -44.8192 0.051666 2.55664
175 1911.72 -42.8861 0.0520736 2.55407
176 1909.79 -40.9465 0.052477 2.55148
177 1907.99 -39.152 0.0528496 2.54908
178 1906.49 -37.6425 0.053164 2.54709
179 1905.5 -36.6528 0.0533842 2.54576
180 1905.19 -36.3376 0.0534833 2.54535
181 1905.6 -36.7635 0.0534529 2.54589
182 1906.55 -37.7718 0.0533189 2.54716
183 1907.73 -38.9804 0.0531373 2.54874
184 1908.79 -40.0521 0.0529625 2.55015
185 1909.5 -40.7772 0.0528308 2.5511
186 1909.79 -41.0603 0.0527555 2.55149
187 1909.83 -41.0867 0.0527117 2.55154
188 1909.92 -41.1496 0.0526539 2.55167
189 1910.39 -41.6056 0.0525318 2.55229
190 1911.31 -42.541 0.0523328 2.55352
191 1912.5 -43.7785 0.052087 2.55511
192 1913.61 -44.924 0.0518521 2.5566
193 1914.39 -45.7113 0.0516711 2.55763
194 1914.7 -46.0281 0.0515626 2.55805
195 1914.59 -45.9066 0.0515216 2.5579
196 1914.2 -45.5088 0.0515246 2.55738
197 1913.72 -45.0262 0.0515413 2.55674
198 1913.35 -44.6631 0.0515406 2.55625
199 1913.22 -44.5405 0.0515022 2.55607
200 1913.36 -44.6844 0.0514202 2.55626
201 1913.76 -45.0959 0.0512962 2.55679
202 1914.37 -45.7079 0.0511394 2.5576
203 1915.15 -46.5024 0.0509555 2.55865
204 1916.05 -47.4255 0.0507544 2.55986
205 1917 -48.3868 0.0505511 2.56112
206 1917.88 -49.2806 0.0503642 2.5623
207 1918.6 -50.0055 0.0502111 2.56326
208 1919.09 -50.505 0.0501031 2.56392
209 1919.33 -50.7378 0.0500467 2.56424
210 1919.33 -50.72 0.0500406 2.56423
211 1919.11 -50.4993 0.0500791 2.56394
212 1918.72 -50.1069 0.0501566 2.56341
213 1918.17 -49.569 0.0502677 2.56269
214 1917.5 -48.9114 0.0504076 2.56179
215 1916.72 -48.1361 0.050574 2.56074
216 1915.81 -47.2328 0.0507654 2.55953
217 1914.81 -46.2147 0.0509772 2.55819
218 1913.76 -45.1593 0.0511965 2.55679
219 1912.79 -44.1967 0.0514013 2.5555
220 1912.09 -43.4936 0.0515628 2.55456
221 1911.83 -43.2357 0.0516512 2.55422
222 1912.12 -43.5357 0.0516503 2.5546
223 1912.86 -44.2877 0.0515745 2.55559
224 1913.85 -45.2911 0.0514563 2.55692
225 1914.85 -46.2883 0.0513356 2.55825
226 1915.66 -47.1159 0.0512407 2.55934
227 1916.2 -47.6587 0.0511884 2.56006
228 1916.48 -47.928 0.0511779 2.56043
229 1916.57 -48.0248 0.0511956 2.56055
230 1916.61 -48.0515 0.0512242 2.5606
231 1916.71 -48.1531 0.0512434 2.56073
232 1916.93 -48.399 0.0512422 2.56103
233 1917.29 -48.7419 0.0512253 2.56151
234 1917.67 -49.148 0.0512026 2.56202
235 1917.95 -49.4404 0.0511991 2.56239
236 1917.98 -49.4875 0.0512356 2.56243
237 1917.67 -49.176 0.0513279 2.56202
238 1917.02 -48.5221 0.0514744 2.56115
239 1916.12 -47.6323 0.0516588 2.55995
240 1915.15 -46.6516 0.0518557 2.55865
241 1914.26 -45.7606 0.0520369 2.55747
242 1913.54 -45.0326 0.0521892 2.5565
243 1912.92 -44.4393 0.0523173 2.55568
244 1912.29 -43.8263 0.0524414 2.55483
245 1911.56 -43.0899 0.0525739 2.55385
246 1910.81 -42.3289 0.0527 2.55285
247 1910.26 -41.76 0.052785 2.55212
248 1910.18 -41.6565 0.0527881 2.55201
249 1910.68 -42.1857 0.0526874 2.55268
250 1911.67 -43.1818 0.0525048 2.554
251 1912.89 -44.419 0.0522793 2.55564
252 1914.07 -45.6214 0.0520562 2.55721
253 1914.99 -46.5418 0.0518736 2.55844
254 1915.53 -47.0793 0.0517511 2.55915
255 1915.62 -47.1742 0.0516992 2.55928
