# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
0 1871.25 0 0.02495 2.5
1 1871.25 0 0.02495 2.5
2 1871.25 0 0.02495 2.5
3 1871.25 0 0.02495 2.5
4 1871.25 0 0.02495 2.5
5 1871.25 0 0.02495 2.5
6 1871.25 0 0.02495 2.5
7 1871.25 0 0.02495 2.5
8 1871.25 0 0.02495 2.5
9 1871.25 0 0.02495 2.5
10 1871.25 0 0.02495 2.5
11 1871.25 0 0.02495 2.5
12 1871.25 0 0.02495 2.5
13 1871.25 0 0.02495 2.5
14 1871.25 0 0.02495 2.5
15 1871.25 0 0.02495 2.5
16 1871.25 0 0.02495 2.5
17 1871.25 0 0.02495 2.5
18 1871.25 0 0.02495 2.5
19 1871.25 0 0.02495 2.5
20 1871.25 0 0.02495 2.5
21 1871.25 0 0.02495 2.5
22 1871.25 0 0.02495 2.5
23 1871.25 0 0.02495 2.5
24 1871.25 0 0.02495 2.5
25 1871.25 0 0.02495 2.5
26 1871.25 0 0.02495 2.5
27 1871.25 0 0.02495 2.5
28 1871.25 0 0.02495 2.5
29 1871.25 0 0.02495 2.5
30 1871.25 0 0.02495 2.5
31 1871.25 0 0.02495 2.5
32 1871.25 0 0.02495 2.5
33 1871.25 0 0.02495 2.5
34 1871.25 0 0.02495 2.5
35 1871.25 0 0.02495 2.5
36 1871.25 0 0.02495 2.5
37 1871.25 0 0.02495 2.5
38 1871.25 0 0.02495 2.5
39 1871.25 0 0.02495 2.5
40 1871.25 0 0.02495 2.5
41 1871.25 0 0.02495 2.5
42 1871.25 0 0.02495 2.5
43 1871.25 0 0.02495 2.5
44 1871.25 0 0.02495 2.5
45 1871.25 0 0.02495 2.5
46 1871.25 0 0.02495 2.5
47 1871.25 0 0.02495 2.5
48 1871.25 0 0.02495 2.5
49 1871.25 0 0.02495 2.5
50 1871.25 0 0.02495 2.5
51 1871.25 0 0.02495 2.5
52 1871.25 0 0.02495 2.5
53 1871.25 0 0.02495 2.5
54 1871.25 0 0.02495 2.5
55 1871.25 0 0.02495 2.5
56 1871.25 0 0.02495 2.5
57 1871.25 0 0.02495 2.5
58 1871.25 0 0.02495 2.5
59 1871.25 0 0.02495 2.5
60 1871.25 0 0.02495 2.5
61 1871.25 0 0.02495 2.5
62 1871.25 0 0.02495 2.5
63 1871.25 0 0.02495 2.5
64 1871.25 0 0.02495 2.5
65 1871.25 0 0.02495 2.5
66 1871.25 0 0.02495 2.5
67 1871.25 0 0.02495 2.5
68 1871.25 0 0.02495 2.5
69 1871.25 0 0.02495 2.5
70 1871.25 0 0.02495 2.5
71 1871.25 -0.00571167 0.0249498 2.5
72 1871.25 -0.00607875 0.0249498 2.5
73 1871.25 -0.0119803 0.0249495 2.5
74 1871.25 -0.0184643 0.0249493 2.5
75 1871.25 -0.0251663 0.024949 2.5
76 1871.25 -0.0267574 0.024949 2.50001
77 1871.26 -0.0284654 0.024949 2.50001
78 1871.26 -0.0303002 0.0249489 2.50001
79 1871.26 -0.0322724 0.0249489 2.50001
80 1871.26 -0.0454752 0.0249484 2.50002
81 1871.27 -0.0539716 0.0249481 2.50002
82 1871.27 -0.0630951 0.0249477 2.50003
83 1871.27 -0.0670688 0.0249476 2.50003
84 1871.28 -0.071334 0.0249475 2.50004
85 1871.28 -0.0870475 0.024947 2.50004
86 1871.29 -0.0981599 0.0249466 2.50005
87 1871.29 -0.104344 0.0249464 2.50006
88 1871.3 -0.13349 0.0249454 2.50007
89 1871.31 -0.164089 0.0249443 2.50008
90 1871.32 -0.179669 0.0249438 2.50009
91 1871.33 -0.190513 0.0249435 2.50011
92 1871.34 -0.207634 0.024943 2.50012
93 1871.36 -0.220345 0.0249426 2.50014
94 1871.37 -0.239608 0.024942 2.50016
95 1871.38 -0.254475 0.0249417 2.50018
96 1871.4 -0.298522 0.0249401 2.5002
97 1871.42 -0.322377 0.0249394 2.50023
98 1871.44 -0.34797 0.0249387 2.50025
99 1871.46 -0.391825 0.0249372 2.50028
100 1871.49 -0.421575 0.0249364 2.50031
101 1871.51 -0.470118 0.0249348 2.50035
102 1871.54 -0.510473 0.0249336 2.50039
103 1871.57 -0.56456 0.0249319 2.50043
104 1871.61 -0.610703 0.0249305 2.50048
105 1871.65 -0.648688 0.0249295 2.50053
106 1871.69 -0.706215 0.0249278 2.50059
107 1871.73 -0.76188 0.0249262 2.50065
108 1871.78 -0.827106 0.0249243 2.50071
109 1871.83 -0.896527 0.0249223 2.50078
110 1871.89 -0.970943 0.0249201 2.50086
111 1871.96 -1.06141 0.0249174 2.50094
112 1872.03 -1.14702 0.024915 2.50104
113 1872.1 -1.2273 0.0249129 2.50114
114 1872.18 -1.31389 0.0249106 2.50124
115 1872.27 -1.4074 0.0249082 2.50136
116 1872.36 -1.50819 0.0249056 2.50149
117 1872.47 -1.6172 0.0249029 2.50163
118 1872.58 -1.74057 0.0248997 2.50178
119 1872.7 -1.87373 0.0248963 2.50194
120 1872.84 -2.02338 0.0248925 2.50212
121 1872.98 -2.18477 0.0248885 2.50231
122 1873.14 -2.35356 0.0248845 2.50252
123 1873.31 -2.53624 0.0248802 2.50275
124 1873.5 -2.73394 0.0248758 2.503
125 1873.7 -2.95341 0.0248709 2.50327
126 1873.92 -3.17912 0.0248663 2.50357
127 1874.16 -3.42864 0.0248614 2.50389
128 1874.42 -3.69176 0.0248567 2.50423
129 1874.69 -3.9804 0.0248519 2.5046
130 1874.99 -4.2946 0.0248472 2.505
131 1875.31 -4.62291 0.0248433 2.50542
132 1875.64 -4.96904 0.0248404 2.50587
133 1875.99 -5.31861 0.0248393 2.50634
134 1876.35 -5.67662 0.0248405 2.50682
135 1876.71 -6.03941 0.0248448 2.50729
136 1877.05 -6.39294 0.0248534 2.50775
137 1877.35 -6.70002 0.024869 2.50815
138 1877.59 -6.94727 0.0248935 2.50847
139 1877.72 -7.08812 0.0249303 2.50865
140 1877.69 -7.06317 0.0249837 2.50861
141 1877.43 -6.82845 0.0250577 2.50826
142 1876.88 -6.28042 0.0251582 2.50752
143 1875.98 -5.40271 0.0252867 2.50631
144 1874.73 -4.15404 0.025443 2.50465
145 1873.27 -2.67814 0.0256149 2.5027
146 1871.89 -1.27215 0.0257783 2.50085
147 1870.98 -0.351775 0.0258999 2.49964
148 1870.91 -0.282267 0.0259515 2.49954
149 1871.71 -1.11105 0.0259287 2.50061
150 1873.12 -2.56049 0.025853 2.5025
151 1874.73 -4.20339 0.0257572 2.50465
152 1876.25 -5.72744 0.0256661 2.50669
153 1877.59 -7.05674 0.0255874 2.50847
154 1878.8 -8.26728 0.0255176 2.51009
155 1879.97 -9.43728 0.025452 2.51165
